code,date,floor,close,nmVolume,nmValue,change,pctChange
TCB,2022-04-08,HOSE,48.85,7030100.0,344361145000.0,-0.45,-0.9128
TCB,2022-04-07,HOSE,49.3,5971000.0,297645910000.0,-0.6,-1.2024
TCB,2022-04-06,HOSE,49.9,9012200.0,443282160000.0,0.85,1.7329
TCB,2022-04-05,HOSE,49.05,5803000.0,285601635000.0,-0.6,-1.2085
TCB,2022-04-04,HOSE,49.65,9775600.0,488163075000.0,-0.65,-1.2922
TCB,2022-04-01,HOSE,50.3,9575500.0,478640945000.0,0.75,1.5136
TCB,2022-03-31,HOSE,49.55,5248700.0,259440355000.0,0.4,0.8138
TCB,2022-03-30,HOSE,49.15,5598900.0,277026155000.0,0.25,0.5112
TCB,2022-03-29,HOSE,48.9,4272400.0,209058730000.0,0.1,0.2049
TCB,2022-03-28,HOSE,48.8,6597500.0,321845825000.0,-0.45,-0.9137
TCB,2022-03-25,HOSE,49.25,3175400.0,156586025000.0,-0.05,-0.1014
TCB,2022-03-24,HOSE,49.3,3214000.0,159014860000.0,-0.3,-0.6048
TCB,2022-03-23,HOSE,49.6,3409900.0,170246855000.0,-0.3,-0.6012
TCB,2022-03-22,HOSE,49.9,5953800.0,297030925000.0,0.45,0.91
TCB,2022-03-21,HOSE,49.45,3921900.0,193245045000.0,0.25,0.5081
TCB,2022-03-18,HOSE,49.2,2909700.0,143328950000.0,0.2,0.4082
TCB,2022-03-17,HOSE,49.0,3249200.0,159734560000.0,-0.05,-0.1019
TCB,2022-03-16,HOSE,49.05,4542000.0,222670820000.0,0.45,0.9259
TCB,2022-03-15,HOSE,48.6,3829700.0,186619540000.0,0.1,0.2062
TCB,2022-03-14,HOSE,48.5,5161200.0,250441945000.0,-0.4,-0.818
TCB,2022-03-11,HOSE,48.9,6422600.0,314236415000.0,-0.35,-0.7107
TCB,2022-03-10,HOSE,49.25,4387100.0,217177075000.0,0.15,0.3055
TCB,2022-03-09,HOSE,49.1,6957800.0,340991605000.0,0.1,0.2041
TCB,2022-03-08,HOSE,49.0,8766400.0,430258520000.0,-0.25,-0.5076
TCB,2022-03-07,HOSE,49.25,8122400.0,400842980000.0,-0.7,-1.4014
TCB,2022-03-04,HOSE,49.95,7022700.0,351033845000.0,0.3,0.6042
TCB,2022-03-03,HOSE,49.65,7391900.0,365219785000.0,0.45,0.9146
TCB,2022-03-02,HOSE,49.2,17893700.0,886636185000.0,-1.1,-2.1869
TCB,2022-03-01,HOSE,50.3,6945900.0,349846440000.0,-0.1,-0.1984
TCB,2022-02-28,HOSE,50.4,7106100.0,358589370000.0,-0.3,-0.5917
TCB,2022-02-25,HOSE,50.7,6665900.0,339171400000.0,0.2,0.396
TCB,2022-02-24,HOSE,50.5,15534300.0,788566245000.0,-1.2,-2.3211
TCB,2022-02-23,HOSE,51.7,6188300.0,320334560000.0,0.3,0.5837
TCB,2022-02-22,HOSE,51.4,10561000.0,539136950000.0,-0.1,-0.1942
TCB,2022-02-21,HOSE,51.5,8654200.0,443155710000.0,-0.1,-0.1938
TCB,2022-02-18,HOSE,51.6,6543700.0,338206330000.0,-0.6,-1.1494
TCB,2022-02-17,HOSE,52.2,7301000.0,379592850000.0,0.6,1.1628
TCB,2022-02-16,HOSE,51.6,6174400.0,319404350000.0,-0.2,-0.3861
TCB,2022-02-15,HOSE,51.8,8584300.0,443323520000.0,0.3,0.5825
TCB,2022-02-14,HOSE,51.5,18771500.0,984180780000.0,-2.2,-4.0968
TCB,2022-02-11,HOSE,53.7,7847800.0,419677010000.0,0.1,0.1866
TCB,2022-02-10,HOSE,53.6,11224900.0,602485680000.0,0.0,0.0
TCB,2022-02-09,HOSE,53.6,17391000.0,943843800000.0,-0.2,-0.3717
TCB,2022-02-08,HOSE,53.8,16481000.0,884138290000.0,1.0,1.8939
TCB,2022-02-07,HOSE,52.8,9809900.0,522380640000.0,0.0,0.0
TCB,2022-01-28,HOSE,52.8,10292900.0,540953730000.0,0.9,1.7341
TCB,2022-01-27,HOSE,51.9,8044000.0,419351300000.0,-0.5,-0.9542
TCB,2022-01-26,HOSE,52.4,15042300.0,791579150000.0,0.5,0.9634
TCB,2022-01-25,HOSE,51.9,14466300.0,747068290000.0,1.6,3.1809
TCB,2022-01-24,HOSE,50.3,16269200.0,824755415000.0,0.5,1.004
TCB,2022-01-21,HOSE,49.8,10321600.0,515169675000.0,0.95,1.9447
TCB,2022-01-20,HOSE,48.85,6430300.0,313847700000.0,0.0,0.0
TCB,2022-01-19,HOSE,48.85,4221900.0,207139755000.0,0.1,0.2051
TCB,2022-01-18,HOSE,48.75,7885200.0,384964155000.0,0.15,0.3086
TCB,2022-01-17,HOSE,48.6,10990600.0,543231670000.0,-1.15,-2.3116
TCB,2022-01-14,HOSE,49.75,5187100.0,259520080000.0,-0.75,-1.4851
TCB,2022-01-13,HOSE,50.5,14417100.0,735138950000.0,0.1,0.1984
TCB,2022-01-12,HOSE,50.4,12044200.0,595491085000.0,1.95,4.0248
TCB,2022-01-11,HOSE,48.45,7296500.0,355696475000.0,-0.2,-0.4111
TCB,2022-01-10,HOSE,48.65,8771400.0,431144910000.0,-0.8,-1.6178
TCB,2022-01-07,HOSE,49.45,7832200.0,388457965000.0,-0.45,-0.9018
TCB,2022-01-06,HOSE,49.9,10716700.0,535719260000.0,-0.6,-1.1881
TCB,2022-01-05,HOSE,50.5,9569600.0,486079760000.0,-0.4,-0.7859
TCB,2022-01-04,HOSE,50.9,11334600.0,577575010000.0,0.9,1.8
TCB,2021-12-31,HOSE,50.0,9547100.0,477517400000.0,0.7,1.4199
TCB,2021-12-30,HOSE,49.3,5321600.0,262777160000.0,0.2,0.4073
TCB,2021-12-29,HOSE,49.1,6141700.0,302703340000.0,-0.05,-0.1017
TCB,2021-12-28,HOSE,49.15,7473500.0,365826640000.0,0.3,0.6141
TCB,2021-12-27,HOSE,48.85,4727500.0,231329025000.0,-0.05,-0.1022
TCB,2021-12-24,HOSE,48.9,6139300.0,296581140000.0,1.55,3.2735
TCB,2021-12-23,HOSE,47.35,13503100.0,647776220000.0,-1.55,-3.1697
TCB,2021-12-22,HOSE,48.9,12625100.0,617403920000.0,-0.35,-0.7107
TCB,2021-12-21,HOSE,49.25,7255100.0,358087315000.0,-0.25,-0.5051
TCB,2021-12-20,HOSE,49.5,7689900.0,382149590000.0,-0.35,-0.7021
TCB,2021-12-17,HOSE,49.85,7903900.0,394367375000.0,0.0,0.0
TCB,2021-12-16,HOSE,49.85,6325600.0,316319015000.0,-0.35,-0.6972
TCB,2021-12-15,HOSE,50.2,6818200.0,342656275000.0,0.1,0.1996
TCB,2021-12-14,HOSE,50.1,7138200.0,358442540000.0,0.1,0.2
TCB,2021-12-13,HOSE,50.0,7440600.0,372822900000.0,-0.2,-0.3984
TCB,2021-12-10,HOSE,50.2,7507300.0,378916580000.0,-0.2,-0.3968
TCB,2021-12-09,HOSE,50.4,5203500.0,260540835000.0,0.4,0.8
TCB,2021-12-08,HOSE,50.0,7649900.0,383461600000.0,0.0,0.0
TCB,2021-12-07,HOSE,50.0,8982100.0,446230585000.0,1.0,2.0408
TCB,2021-12-06,HOSE,49.0,22907100.0,1138768165000.0,-1.2,-2.3904
TCB,2021-12-03,HOSE,50.2,15571600.0,800128960000.0,-1.5,-2.9014
TCB,2021-12-02,HOSE,51.7,8970600.0,468320650000.0,-0.7,-1.3359
TCB,2021-12-01,HOSE,52.4,11339500.0,588027790000.0,0.6,1.1583
